question,answer
"For the purpose of this circular, whether exposure of non-banking financial companies (NBFCs) and other financial institutions like National Housing Bank (NHB) shall be included in computing aggregate exposure of the banking system.","The instructions are applicable to Scheduled Commercial Banks and Payments Banks. Accordingly, the aggregate exposure for the purpose shall include exposures of these banks only."
"Whether aggregate exposure shall include Day Light Over Draft (DLOD)/ intra-day facilities and irrevocable payment commitments, limits set up for transacting in FX and interest rate derivatives, CPs, etc.",All fund based and non-fund based credit facilities sanctioned by the banks and carried in their Indian books shall be included for the purpose of aggregate exposure.
"In respect of proprietorship firms, whether credit facilities availed by the proprietor in his/her personal capacity like home loan, loan against property, etc shall be included in the aggregate exposure of the banking system for the purpose of this circular.","In case of proprietary firms, the aggregate exposure shall include all the credit facilities availed by him/her, for business purpose or otherwise."
"As per paragraph 1 (ii) of the circular, where a banks exposure to a borrower is less than 10 per cent of the exposure of the banking system to that borrower, while credits are freely permitted, debits to the CC/OD account can only be for credit to the CC/OD account of that borrower with a bank that has 10 per cent or more of the exposure of the banking system to that borrower. Funds will be remitted from these accounts to the said transferee CC/OD account at the frequency agreed between the bank and the borrower. Where shall the funds be credited in cases where none of the lenders have at least 10% exposure to a borrower.","In such cases, funds may be remitted to the account maintained with the bank having the highest share in the exposure of the banking system to the borrower. Credits and debits will be freely permitted in the said account.

Alternatively, the borrower is free to avail working capital only in the form of WCDL/WCTL and open current accounts as per the provisions of paragraph 1 (v) of the circular based on the aggregate exposure."
"Whether banks with less than 10% of aggregate exposure can debit their dues such as fees and charges and maturity obligations around cross border services like letter of credit/ bank guarantees, derivatives, factoring transactions, other loan instalments, etc. from the CC/OD accounts of their borrowers before transferring the funds to the CC/OD account of the borrower with bank(s) having 10% or more of the aggregate exposure of the banking system to that borrower.","In such cases, banks are permitted to debit interest/charges pertaining to the said CC/OD (not any other facilities granted by the same bank) account as well as fee/charges for opening of LC/ BG, issue of DDs, etc. before transferring the funds to the CC/OD account of the borrower with bank(s) having 10% or more of the aggregate exposure of the banking system to that borrower."
Whether banks with less than 10 per cent of the aggregate exposure of the banking system to a borrower can offer only working capital demand loan (WCDL) / working capital term loan (WCTL) facility to the borrower or existing CC/OD facility can be enhanced.,"Banks are free to enhance existing CC/OD/WCTL/WCDL facilities or sanction new facilities in these forms subject to provisions of thecircular on Guidelines on Loan System for Delivery of Bank Credit dated December 5, 2018as well as thecircular dated August 6, 2020on opening of current accounts"
Whether banks can open current accounts for project specific facilities like Term Loan/ Lease Rental Discounting (LRD) term loan against a specific project where cash flows/rent receivables are directed to a specific bank.,"Banks may open a current account for receiving/monitoring cash flows of a specific project, provided the borrower has not availed any CC/OD facility for that specific project. Banks opening project specific current/escrow account shall ensure that cash flows coming in the account are from that project only."
Whether banks are allowed to open current/escrow accounts of customers availing credit facility from an NBFC/Non-bank financial institution for a project.,"Banks are free to open current accounts for borrowers having credit facilities only from NBFCs/FIs/ /co-operative banks/non-bank institutions. However, if such borrowers avail facilities from the banks covered under the guidelines, all the provisions of the circular shall be applicable."
"As per para 1 (v) (a) of the circular, in case of customers who have not availed CC/OD facility from any bank, banks are required to put in place an escrow mechanism for borrowers where exposure of the banking system is ?50 crore or more. Further, lending banks can open collection accounts for such borrowers subject to the condition that funds will be remitted from these accounts to the said escrow account at the frequency agreed between the bank and the borrower. Whether multiple escrow accounts can be opened for large corporates with multiple business units (BU) / multiple projects","For borrowers with multiple projects/ multiple business units, banks may open multiple escrow accounts for monitoring of project-wise / unit-wise cash flows. Banks opening project specific current/escrow account shall ensure that cash flows coming in the account are from that project/unit only."
Whether all lending banks are required to be part of the same escrow agreement? Whether non-lending banks can open such escrow accounts as mandated under para 1 (v) of the circular. Who will decide as to which bank will act as escrow agent?,All lending banks should be part of the escrow agreement. The terms and conditions may be decided mutually by lending banks and the borrower. Borrowers shall be free to choose their escrow managing banks. Non-lender banks are not permitted to escrow accounts
"As per para 3 of the circular, term loans should be disbursed directly to the suppliers of goods and services. Whether term loans towards refinancing of existing term debt of borrowers, for general corporate purpose / long term working capital, reimbursement of expenses, etc. can be disbursed to the CC/OD or current accounts of the borrowers.","In cases where term loans are meant for purposes other than for supply of goods and services and where the payment destination is unidentifiable, banks may route such term loans through CC/OD or current accounts of the borrower opened as per the provisions of the circular. Banks shall ensure that where the payment destination is identifiable (i.e. refinance of existing debt, etc.), payment is made directly, without routing it through CC/OD accounts."
"At the time of periodical monitoring, if there is a change in exposure of banks/aggregate exposure of the banking system to the borrower, who will decide about the accounts to which funds from collection accounts or CC/OD accounts with banks less than 10% of the exposure are to be credited. Further, what will be timeline within which the new arrangements will have to be implemented.","Borrowers shall be free to choose the bank(s) for the purpose of maintaining their operating current account/escrow account/CC/OD accounts within the overall framework of the circular. Further, banks will have to implement the new arrangements within a period of three months from the date of change in exposure."
"Whether banks maintaining collection accounts can debit the collection accounts for liquidating their own dues of WCDL/Bills/ Derivatives/loan instalments, etc.",Collections accounts can be debited only for transferring the funds to the escrow account of the borrower.
